Sample_ID	Date_of_Experiment	No_of_beads	Type	Cycles	Person	Cell_Type	Concentration
Derek_R20170322_R1_4k_13c	20170322	4000	Run	13	Derek	Neurons	0.364
Derek_R20170322_R2_4k_13c	20170322	4000	Run	13	Derek	Neurons	0.175
Derek_R20170322_T1_200_13c	20170322	200	Tube	13	Derek	Neurons	0.284
Joyal_R20170321_R1_4k_13c	20170321	4000	Run	13	Gael	Retina	0.172
Joyal_R20170321_T1_200_13c	20170321	200	Tube	13	Gael	Retina	0.057
Species_Mix_pos_tube_ctr_200_13c	2017-03-14	200	Tube	13	HEK	Hek_2T3	1.28
Derek_R20170322_R1_4k_17c	20170322	4000	Run	17	Derek	Neurons	3.17
Derek_R20170322_R2_4k_17c	20170322	4000	Run	17	Derek	Neurons	1.38
Joyal_R20170321_R1_4k_17c	20170321	4000	Run	17	Gael	Retina	0.816
Panos_R20170301_R1_32kb_13c	20170301	32000	Run	13	Panos	NK_Cells	0.413
Derek_R20170322_R1_12k_13c	20170322	12000	Run	13	Derek	Neurons	01.05
Derek_R20170322_R2_12k_13c	20170322	12000	Run	13	Derek	Neurons	0.494
SpeciesM_R20170314_R2_200b_13c	20170314	200	Tube	13	HEK	Hek_2T3	1.29
SpeciesM_R20170314_R2_1kb_13c	20170314	1000	Tube	13	HEK	Hek_2T3	3.42
SpeciesM_R20170314_R2_2kb_13c	20170314	2000	Tube	13	HEK	Hek_2T3	3.47
Derek_20170323_Tctr_1kb_13c	20170323	1000	Tube	13	Derek	Neurons	1.34
Derek_20170323_Tctr_2kb_13c	20170323	2000	Tube	13	Derek	Neurons	1.89
Joyal_20170322_Tctr_1kb_13c	20170322	1000	Tube	13	Gael	Retina	0.422
Joyal_20170322_Tctr_2kb_13c	20170322	2000	Tube	13	Gael	Retina	0.538
Haley_20170328_R1_4kb_13c	20170328	4000	Run	13	Haley	Macrophages	0.215
Haley_20170328_R1_16kb_13c	20170328	16000	Run	13	Haley	Macrophages	0.476
Derek_201670323_32kb_13c	20170323	32000	Run	13	Derek	Neurons	1.45
Haley_20170328_200b	20170328	200	Tube	13	Haley	Macrophages	0.19
Haley_20170328_1kb 	20170328	1000	Tube	13	Haley	Macrophages	0.337
Haley_20170330_T2K_200b	20170330	200	Tube	13	Haley	LCL	0.064
Haley_20170330_T2K_1kb	20170330	1000	Tube	13	Haley	LCL	0.235
Haley_20170330_T2K_4kb	20170330	4000	Tube	13	Haley	LCL	0.562
Haley_20170330_T8K_200b	20170330	200	Tube	13	Haley	LCL	0.252
Haley_20170330_T8K_1kb	20170330	1000	Tube	13	Haley	LCL	0.905
Haley_20170330_T8K_4kb	20170330	4000	Tube	13	Haley	LCL	2.81
Haley_20170308_T1_1kb	20170308	1000	Tube	13	Haley	Macrophages	0.061
Haley_20170308_T1_4kb	20170308	4000	Run	13	Haley	Macrophages	0.093
Gael_20170403_4kb_13c	20170403	4000	Run	13	Gael	Retina	0.581
Gael_20170403_16kb_13c	20170403	16000	Run	13	Gael	Retina	1.63
Gael_20170403_T2K_200B_13c	20170403	200	Tube	13	Gael	Retina	0.263
Gael_20170403_T2K_1KB_13c	20170403	1000	Tube	13	Gael	Retina	0.694
Gael_20170403_T2K_4KB_13c	20170403	4000	Tube	13	Gael	Retina	1.72
Gael_20170403_T8K_200B_13c	20170403	200	Tube	13	Gael	Retina	0.147
Gael_20170403_T8K_1KB_13c	20170403	100	Tube	13	Gael	Retina	0.518
Gael_20170403_T8K_4KB_13c	20170403	4000	Tube	13	Gael	Retina	1.24
SpeciesM_BB3_200B_13c	20170314	200	Tube	13	HEK	Hek_2T3	0.636
SpeciesM_BB3_1KB_13c	20170314	1000	Tube	13	HEK	Hek_2T3	3.56